ID,key,group,credibility
313421496104,店家,0,0.2710665951
313421496104,家,0,0.2403475775
313421496104,餐館,0,0.3505292836
313421496104,主食,0,0.3182877119
313421496104,作息,0,0.2267147814
313421496104,新色,0,0.2907149975
114604505257582,腳上,0,0.3364682662
114604505257582,腳上,0,0.3364682662
114604505257582,Pattis,0,0.2844017629
114604505257582,Pattis,0,0.2844017629
114604505257582,IG,0,0.3328734884
114604505257582,http://goo.gl/sSqqWi,0,0.3843362856
114604505257582,http://goo.gl/sSqqWi,0,0.3843362856
114604505257582,http://goo.gl/sSqqWi,0,0.3843362856
114604505257582,光澤,0,0.2550500279
114604505257582,官網,0,0.3144934636
114604505257582,官網,0,0.3144934636
114604505257582,教室,0,0.3593575542
114604505257582,臉會,0,0.3057749143
114604505257582,脖子,0,0.3435104911
114604505257582,部分,0,0.288593663
114604505257582,粉底,0,0.3948316393
114604505257582,人手,0,0.3548117272
114604505257582,水份,0,0.2675472749
169789146438787,裡面,0,0.2513518969
169789146438787,皮膚,0,0.388836929
169789146438787,皮膚,0,0.388836929
169789146438787,皮膚,0,0.388836929
169789146438787,燕麥,0,0.3436667061
169789146438787,燕麥,0,0.3436667061
169789146438787,早餐,0,0.3048844222
169789146438787,名氣,0,0.3517375899
169789146438787,衝刺,0,0.3154720175
169789146438787,-褲,0,0.4804389494
169789146438787,國家,0,0.3464847022
169789146438787,褲子,0,0.2867785444
169789146438787,保暖,0,0.3094297724
169789146438787,https://goo.gl/ebdQsR,0,0.2784352365
169789146438787,地方,0,0.302970779
169789146438787,泰國,0,0.2912780944
169789146438787,泰國,0,0.2912780944
169789146438787,刷毛,0,0.259270867
169789146438787,AveenoTW,0,0.3521513982
169789146438787,https://lihi.cc,0,0.3268833416
169789146438787,乳液,0,0.3143929192
169789146438787,乳液,0,0.3143929192
169789146438787,襪子,0,0.3450756334
169789146438787,理髮廳,0,0.3173836429
169789146438787,理髮廳,0,0.3173836429
169789146438787,理髮廳,0,0.3173836429
169789146438787,重點,0,0.3872514862
169789146438787,飯店,0,0.3073753697
169789146438787,乳霜,0,0.3377299372
200756436724055,大餐,0,0.3417812943
200756436724055,~https://goo.gl/8cxfNZ,0,0.3028446419
200756436724055,口罩,0,0.3390479372
200756436724055,暖爐,0,0.3677727957
200756436724055,地方,0,0.302970779
200756436724055,空氣,0,0.2573856071
393844540753809,全身,0,0.3228679233
393844540753809,皮膚,0,0.388836929
393844540753809,錶圈,0,0.310456921
393844540753809,鴛鴦,0,0.299654718
393844540753809,機上,0,0.3192756986
393844540753809,韓國,0,0.31919029
393844540753809,韓國,0,0.31919029
393844540753809,韓國,0,0.31919029
393844540753809,男人,0,0.25497652
393844540753809,東西,0,0.4195734998
393844540753809,東西,0,0.4195734998
393844540753809,東西,0,0.4195734998
